QID,itemLabel,pubDates,genres,origin,coordinates,lon,lat
Q18162235,The Children Act,2014-09-02,,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q20124,On the Origin of Species,1859-11-24,"treatise,scientific literature",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q105756377,"Fleabag, season 2",,,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q1137494,King Solomon's Mines,1885-09-30,"lost world fiction,adventure fiction",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q465395,The Black Cat,1822-08-19,horror fiction,New York City,Point(-74.006111111 40.712777777),-74.006111111,40.712777777
Q16155320,Broad City,,"American television sitcom,LGBT-related television series",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q1142887,In Cold Blood,1966-01-01,"non-fiction,non-fiction novel,true crime,noir fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q214723,The Gold Rush,1925-06-26,"comedy film,silent film,romantic comedy,social comedy film",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q19863017,Crazy Ex-Girlfriend,,"comedy drama,romantic comedy,LGBT-related television series,musical",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q7759996,The Redundancy of Courage,1991-01-01,,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q3163506,I Know Why the Caged Bird Sings,1969-01-01,"autobiography,autobiographical novel",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q16154159,Americanah,2013-05-14,historical fiction,Nigeria,Point(8.0 9.0),8.0,9.0
Q966191,Miranda,,sitcom,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q5581570,Gone Girl,2012-01-01,thriller,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q907568,The Scarlet Letter,1850-01-01,"historical fiction,romantic fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q19871,Waiting for Godot,1952-01-01,theatre of the absurd,France,Point(2.0 47.0),2.0,47.0
Q887192,Horse Feathers,1932-01-01,"comedy film,parody film,American football film",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q957323,Blazing Saddles,1974-01-01,"satire,comedy film,Western film,parody film,postmodernist film",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q209170,Mary Poppins,1964-08-27,"fantasy film,comedy film,musical film,family film,live-action/animated film,film based on a novel",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q5477055,Fox in Socks,1965-06-19,,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q48922,Orlando Furioso,,chivalric romance,Italy,Point(12.5 42.5),12.5,42.5
Q2707531,Portnoy's Complaint,1969-01-12,black comedy,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q50282028,Becoming,2018-11-13,memoir,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q189350,30 Rock,,"sitcom,satirical film or television program",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q3667415,Call Me By Your Name,2007-01-01,"bildungsroman,romance,gay fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q189811,David Copperfield,1850-01-01,"bildungsroman,autobiographical novel",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q321423,Law & Order,,"legal drama,police procedural",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q514565,Bottle Rocket,1996-01-01,"comedy film,heist film,buddy film",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q2268391,A Wrinkle in Time,1962-01-01,"science fiction,fantasy,science fantasy",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q35160,Odyssey,,epic poem,Ancient Greece,Point(23.0 38.5),23.0,38.5
Q265954,Slaughterhouse-Five,1969-03-01,"science fiction,black comedy,metafiction,anti-war fiction,time-travel fiction,satirical fiction,war fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q724008,L'Orfeo,,favola in musica,Duchy of Mantua,Point(10.791111 45.156389),10.791111,45.156389
Q172230,Call the Midwife,,"drama television series,medical drama,historical drama,film based on book,LGBT-related television series",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q1784288,Invisible Man,1952-04-14,"science fiction,bildungsroman,African American literature,social novel,autobiographical novel","United States,United Kingdom","Point(-98.5795 39.828175),Point(-2.0 54.6)","-98.5795,-2.0","39.828175,54.6"
Q1723053,Saturday,2005-01-01,,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q857313,One Flew Over the Cuckoo's Nest,1962-01-01,,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q99179657,Mother Goose’s Melody,1772-01-01,,Kingdom of Great Britain,Point(-0.13333333 51.5),-0.13333333,51.5
Q112241985,Disclaimer,,thriller,"United States,United Kingdom","Point(-98.5795 39.828175),Point(-2.0 54.6)","-98.5795,-2.0","39.828175,54.6"
Q2527400,The Facetious Nights of Straparola,,group of literary works,Italy,Point(12.5 42.5),12.5,42.5
Q151883,The Sorrows of Young Werther,1774-01-01,"epistolary novel,sentimental novel,diary literature",Germany,Point(10.0 51.0),10.0,51.0
Q44523,Twilight,2005-01-01,"romantic fiction,vampire fiction,young adult fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q27959455,Roma,2018-08-30,drama film,"United States,Mexico","Point(-98.5795 39.828175),Point(-102.0 23.0)","-98.5795,-102.0","39.828175,23.0"
Q62595383,Promising Young Woman,2020-01-01,"black comedy,drama film,crime film,rape and revenge film,thriller film,vigilante film","United States,United Kingdom","Point(-98.5795 39.828175),Point(-2.0 54.6)","-98.5795,-2.0","39.828175,54.6"
Q622400,Things Fall Apart,1958-01-01,fiction literature,United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q183513,Buffy the Vampire Slayer,,"drama television series,youth series,horror television series,LGBT-related television series,fantasy television series,werewolf television program,paranormal television program,vampire television program",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q459667,The Murders in the Rue Morgue,1841-04-20,"detective fiction,locked room mystery",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q178869,One Hundred Years of Solitude,1967-01-01,magic realism,Argentina,Point(-64.0 -34.0),-64.0,-34.0
Q6467743,Labyrinths,1962-01-01,"essay,magic realist fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q971767,Beloved,1987-09-01,"historical fiction,magic realist fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q1450848,"The Secret Diary of Adrian Mole, Aged 13¾",1982-10-07,"epistolary novel,fictional diary,young adult literature,comic novel",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q191663,The Canterbury Tales,,English literature,England,Point(-1.0 53.0),-1.0,53.0
Q57270,BioShock,2007-08-21,"first-person shooter,science fiction video game,video game with LGBT character","United States,Australia","Point(-98.5795 39.828175),Point(133.0 -25.0)","-98.5795,133.0","39.828175,-25.0"
Q617357,Ubik,1969-01-01,"science fiction,futuristic fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q7549373,So Long a Letter,1981-01-01,epistolary novel,Senegal,Point(-14.283333 14.366667),-14.283333,14.366667
Q1396889,Animal Farm,1945-08-17,"fable,roman à clef,dystopian fiction,satirical fiction",England,Point(-1.0 53.0),-1.0,53.0
Q462373,The Yellow Wall Paper,1892-01-01,fiction,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q379286,Naked Lunch,1959-01-01,speculative fiction,France,Point(2.0 47.0),2.0,47.0
Q3213603,La Vie de Marianne,1731-01-01,memoir novel,France,Point(2.0 47.0),2.0,47.0
Q1247551,Peyton Place,,"soap opera,television series based on a novel",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q2743569,An Apology for the Life of Mrs. Shamela Andrews,1741-01-01,"parody,epistolary novel",England,Point(-1.0 53.0),-1.0,53.0
Q8265,Dream of the Red Chamber,1792-01-01,"xiaoshuo,family saga,zhanghui novel",Qing dynasty,Point(103.0 38.0),103.0,38.0
Q181943,I Love Lucy,,"sitcom,comedy television series,American television sitcom",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q548576,The Castle of Otranto,1764-01-01,Gothic novel,England,Point(-1.0 53.0),-1.0,53.0
Q7775594,The Women's Room,1977-01-01,,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q1987925,Varney the Vampire,1845-01-01,"Gothic fiction,vampire fiction",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q184222,The Metamorphosis,1915-01-01,"absurdist literature,epic literature,body horror literature","Austria,Austria–Hungary","Point(14.0 48.0),Point(16.365 48.2075)","14.0,16.365","48.0,48.2075"
Q993664,The Year of Magical Thinking,2005-01-01,memoir,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q240617,Père Goriot,1835-03-01,historical fiction,France,Point(2.0 47.0),2.0,47.0
Q7742392,The Intuitionist,1999-01-01,"science fiction,fantasy",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q798227,The Sandman,1817-01-01,"horror literature,high literature","Germany,Kingdom of Prussia","Point(10.0 51.0),Point(14.0 53.0)","10.0,14.0","51.0,53.0"
Q27538067,The Terror,,"anthology series,drama television series,horror television series,thriller television series",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q464928,In Search of Lost Time,2000-01-01,modernist literature,France,Point(2.0 47.0),2.0,47.0
Q1207595,Confessions,1782-01-01,"autobiography,treatise",France,Point(2.0 47.0),2.0,47.0
Q1077445,Infinite Jest,1996-02-01,"science fiction,postmodern literature,hysterical realism",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q958560,Disgrace,1999-07-01,campus novel,South Africa,Point(24.0 -29.0),24.0,-29.0
Q3221351,The Calcutta Chromosome,1995-01-01,"science fiction,thriller",India,Point(83.0 22.8),83.0,22.8
Q284395,The Bridges of Madison County,1992-01-01,romantic fiction,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q181488,Gulliver's Travels,1726-10-28,"satire,fantasy,dystopian fiction",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q125622088,Flow,2024-11-21,"fantasy film,adventure film,family film","Belgium,France,Latvia","Point(4.668055555 50.641111111),Point(2.0 47.0),Point(25.0 57.0)","4.668055555,2.0,25.0","50.641111111,47.0,57.0"
Q480,Don Quixote,,"chivalric romance,parody,adventure fiction,found manuscript",Spain,Point(-3.5 40.2),-3.5,40.2
Q523076,Little Women,1869-01-01,"autobiography,bildungsroman,family saga,realist novel,developmental novel",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q2008211,The Left Hand of Darkness,1969-03-01,"science fiction,gay literature,feminist science fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q1107000,Babbitt,1922-01-01,satire,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q1247359,Dragnet,,police procedural,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q2609365,The Thirty-nine Steps,1915-01-01,"mystery fiction,spy fiction",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q36097,The Trial,1925-01-01,"absurdist literature,dystopian fiction","Austria,Germany","Point(14.0 48.0),Point(10.0 51.0)","14.0,10.0","48.0,51.0"
Q4881733,Bel Canto,2001-01-01,thriller,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q313129,Middlemarch,1871-01-01,realist novel,United Kingdom of Great Britain and Ireland,Point(-0.1275 51.507222222),-0.1275,51.507222222
Q20737828,Bloodchild,1984-06-01,science fiction,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q2344707,The Crying of Lot 49,1966-01-01,"science fiction,metafiction,secret history,paranoid fiction,postmodern fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q214132,And Then There Were None,1939-01-01,crime fiction,England,Point(-1.0 53.0),-1.0,53.0
Q2776448,My Ántonia,1918-01-01,historical fiction,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q501351,The Sun Also Rises,1926-10-22,,United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q8275,Iliad,,epic poem,Ancient Greece,Point(23.0 38.5),23.0,38.5
Q212340,To Kill a Mockingbird,1960-07-11,"bildungsroman,Southern Gothic,social fiction,legal fiction",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q645882,Pyramid Texts,1894-01-01,"incantation,ancient Egyptian funerary texts",Ancient Egypt,Point(31.3 29.8),31.3,29.8
Q3107329,The Hitchhiker's Guide to the Galaxy,1979-10-12,"science fiction,science fiction comedy,comic novel",United Kingdom,Point(-2.0 54.6),-2.0,54.6
Q4529,Veronica Mars,,"drama television series,youth series,neo-noir,crime television series",United States,Point(-98.5795 39.828175),-98.5795,39.828175
Q1286961,Sister Carrie,1900-01-01,,United States,Point(-98.5795 39.828175),-98.5795,39.828175
