id	author	date	benefit	experience	technology	title	QID
303	5	2025-01-09	Expanded Inner List of Cultural Norms	Self-Acceptance	Dream of the World	Total Recall	Q222018
302	5	2025-01-09	Expanded Inner List of Cultural Norms	Self-Acceptance	Dream of the World	Invisible Man	Q1784288
301	5	2025-01-09	Expanded Inner List of Cultural Norms	Self-Acceptance	Dream of the World	Dream of the Red Chamber	Q8265
300	5	2025-01-09	Community	Righteousness	Revenge Plot	Oresteia	Q249769
299	6	2025-01-09	Community	Righteousness	Revenge Plot	Promising Young Woman	Q62595383
298	5	2025-01-09	Community	Righteousness	Revenge Plot	Thyestes	Q3990982
297	5	2025-01-09	Community	Righteousness	Revenge Plot	Père Goriot	Q240617
296	5	2025-01-09	Community	Righteousness	Moral Suasion	Narrative of the Life of Frederick Douglass, An American Slave	Q2904743
295	5	2025-01-09	Gratitude	Resilience	Gratitude Booster	1 Thessalonians	Q131115
294	5	2025-01-09	Gratitude	Resilience	Gratitude Booster	The Kesh Temple Hymn	Q5195547
293	5	2025-01-09	Healing	Released Emotion Brake	Opportunity to Observe + Pivot into Positive Emotion	Fun Home	Q428680
292	5	2025-01-09	Healing	Released Emotion Brake	Opportunity to Observe + Pivot into Positive Emotion	Alcestis	Q1246408
291	5	2025-01-09	Creative Breakthrough	Relearning	Poetic Narrative	The Metamorphosis	Q184222
290	5	2025-01-09	Creative Breakthrough	Relearning	Poetic Language	One Hundred Years of Solitude	Q178869
289	5	2025-01-09	Creative Breakthrough	Relearning	Poetic History	Roma	Q27959455
288	5	2025-01-09	Creative Breakthrough	Relearning	Poetic History	Pan's Labyrinth	Q216006
287	5	2025-01-09	Creative Breakthrough	Relearning	Poetic History	Like Water for Chocolate	Q1777072
286	5	2025-01-09	Creative Breakthrough	Relearning	Poetic History	A Wild Sheep Chase	Q2279794
285	5	2025-01-09	Creative Breakthrough	Relearning	Poetic History	Beloved	Q971767
284	5	2025-01-09	Creative Breakthrough	Relearning	Poetic History	Labyrinths	Q6467743
283	5	2025-01-09	Creative Breakthrough	Relearning	Poetic History	One Hundred Years of Solitude	Q178869
282	5	2025-01-09	Cognitive Flexibility	Ready to Grow	Life Evolver	Becoming	Q50282028
281	5	2025-01-09	Cognitive Flexibility	Ready to Grow	Life Evolver	The Autobiography of Malcolm X	Q2281600
280	5	2025-01-09	Cognitive Flexibility	Ready to Grow	Life Evolver	My Bondage and My Freedom	Q6945057
279	5	2025-01-09	Vigilance	Paranoia	Vigilance Trigger	A Wrinkle in Time	Q2268391
278	5	2025-01-09	Vigilance	Paranoia	Vigilance Trigger	The Calcutta Chromosome	Q3221351
277	5	2025-01-09	Vigilance	Paranoia	Vigilance Trigger	Bloodchild	Q20737828
276	5	2025-01-09	Vigilance	Paranoia	Vigilance Trigger	Ubik	Q617357
275	5	2025-01-09	Vigilance	Paranoia	Vigilance Trigger	Naked Lunch	Q379286
274	5	2025-01-09	Vigilance	Paranoia	Vigilance Trigger	One Flew over the Cuckoo's Nest	Q857313
273	5	2025-01-09	Vigilance	Paranoia	Vigilance Trigger	The Trial	Q36097
272	5	2025-01-09	Vigilance	Paranoia	Vigilance Trigger	The Scarlet Letter	Q907568
271	5	2025-01-09	Vigilance	Paranoia	Vigilance Trigger	The Yellow Wallpaper	Q462373
270	5	2025-01-09	Vigilance	Paranoia	Vigilance Trigger	The Divine Comedy	Q40185
269	5	2025-01-09	Resilience	Optimism	Lucky Twist	Superman	Q520306
268	5	2025-01-09	Resilience	Optimism	Lucky Twist	The Gold Rush	Q214723
267	5	2025-01-09	Resilience	Optimism	Lucky Twist	Graciosa and Percinet	Q5591644
266	5	2025-01-09	Resilience	Optimism	Lucky Twist	The Facetious Nights of Straparola (Adamantina and the Doll)	Q2527400
265	5	2025-01-09	Cognitive Flexibility	Nimbleness	Varied Catalogue of Rhetorical Models	The Columbian Orator	Q7726887
264	5	2025-01-09	Catastrophizing	Moral Omniscience	Poetic Justice	The Blue Fairy Book	Q60321234
263	5	2025-01-09	Catastrophizing	Moral Omniscience	Poetic Justice	Histoires ou contes du temps passé	Q111906658
262	5	2025-01-09	Creativity	Mind Wandering	Anarchy Rhymer	Bottle Rocket	Q514565
261	5	2025-01-09	Creativity	Mind Wandering	Anarchy Rhymer	Frederick	Q107919904
260	5	2025-01-09	Creativity	Mind Wandering	Anarchy Rhymer	Pippi Longstocking	Q2446285
259	5	2025-01-09	Creativity	Mind Wandering	Anarchy Rhymer	Fox in Socks	Q5477055
258	5	2025-01-09	Creativity	Mind Wandering	Anarchy Rhymer	Winnie the Pooh	Q3766392
257	5	2025-01-09	Creativity	Mind Wandering	Anarchy Rhymer	Alice's Adventures in Wonderland	Q92640
256	5	2025-01-09	Creativity	Mind Wandering	Anarchy Rhymer	Mother Goose's Melody	Q99179657
255	5	2025-01-09	Creativity	Mind Wandering	Anarchy Rhymer	The Book of Nonsense	Q19020134
254	5	2025-01-09	Intimacy	Love	Almighty Heart	Call Me By Your Name	Q3667415
253	5	2025-01-09	Intimacy	Love	Almighty Heart	The History of Love	Q5237708
252	5	2025-01-09	Intimacy	Love	Almighty Heart	The Time Traveler's Wife	Q1212645
251	5	2025-01-09	Intimacy	Love	Almighty Heart	Bel Canto	Q4881733
250	6	2025-01-09	Intimacy	Love	Secret Discloser	Jane Eyre	Q182961
249	5	2025-01-09	Intimacy	Love	Secret Discloser	Sappho's Lyrics	Q17079267
248	6	2025-01-09	Intimacy	Love	I Voice	Fleabag	Q105756377
247	5	2025-01-09	Intimacy	Love	I Voice	My Antonia	Q2776448
246	5	2025-01-09	Intimacy	Love	I Voice	A Farewell to Arms	Q235795
245	5	2025-01-09	Intimacy	Love	I Voice	Jane Eyre	Q182961
244	5	2025-01-09	Intimacy	Love	I Voice	here is the deepest secret nobody knows/ I carry your heart (I carry it in my heart)	
243	5	2025-01-09	Intimacy	Love	I Voice	I have tucked our love inside the lyric/ Like silver in a pocket	
242	5	2025-01-09	Intimacy	Love	I Voice	Crossing Brooklyn Ferry	Q5188653
241	5	2025-01-09	Intimacy	Love	I Voice	I Should Not Dare to Leave My Friend	Q19062936
240	5	2025-01-09	Intimacy	Love	I Voice	Do Not God Gentle into That Good Night	Q2368110
239	5	2025-01-09	Intimacy	Love	I Voice	Sappho's Lyrics	Q17079267
238	5	2025-01-09	Intimacy	Love	I Voice	Chinese Ode included in the Shijing of the Five Classics	Q465108
237	5	2025-01-09	Community	Moral Omniscience	Poetic Justice	The Story of Job (Ludlul bēl nēmeqi)	Q1406929
236	5	2025-01-09	Belief	Immersion	Story in the Story	Mahābhārata	Q8276
235	5	2025-01-09	Belief	Immersion	Story in the Story	The Westcar Papyrus	Q591301
234	5	2025-01-09	Connection	Identification	Soliloquy in a Soliloquy	Toy Story	Q171048
233	5	2025-01-09	Connection	Identification	Soliloquy in a Soliloquy	The Bridges of Madison County	Q284395
232	5	2025-01-09	Connection	Identification	Soliloquy in a Soliloquy	The Secret Diary of Adrian Mole, Aged 13 3/4	Q1450848
231	5	2025-01-09	Connection	Identification	Soliloquy in a Soliloquy	The Women's Room	Q7775594
230	5	2025-01-09	Connection	Identification	Soliloquy	Le Cid	Q637787
229	5	2025-01-09	Connection	Identification	Soliloquy	Hamlet	Q41567
228	5	2025-01-09	Connection	Identification	Soliloquy	The Adventures of Huckleberry Finn	Q215410
227	5	2025-01-09	Connection	Identification	Soliloquy	The Sorrows of Young Werther	Q151883
226	5	2025-01-09	Connection	Identification	Soliloquy	Robinson Crusoe	Q483034
225	5	2025-01-09	Healing	Gratification	Pivot into Positive Emotion	The Cocktail Party	Q1766503
224	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Wish Fulfillment	Odyssey	Q35160
223	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Almighty Heart	Clarissa, or, the History of a Young Lady	Q980534
222	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Almighty Heart	Pamela	Q2048624
221	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Almighty Heart	Fanny Hill, or Memoirs of a Woman of Pleasure	Q1395765
220	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Almighty Heart	Letters from a Peruvian Woman	Q851847
219	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Almighty Heart	La Vie de Marianne	Q3213603
218	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Almighty Heart	Orlando Furioso	Q48922
217	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Almighty Heart	Amadis de Gaula	Q452075
216	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Almighty Heart	Willehalm	Q2576669
215	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Almighty Heart	El Cantar de Mio Cid	Q320713
214	5	2025-01-09	Unrealistic Romantic Expectations	Gratification	Almighty Heart	Morte D'arthur	Q1136104
213	5	2025-01-09	Realistic Appreciation of Love	Generous Love	Free Indirect Discourse	Brokeback Mountain	Q2699263
212	5	2025-01-09	Realistic Appreciation of Love	Generous Love	Free Indirect Discourse	The Marriage Plot	Q3824677
211	5	2025-01-09	Realistic Appreciation of Love	Generous Love	Free Indirect Discourse	The Children Act	Q18162235
210	5	2025-01-09	Realistic Appreciation of Love	Generous Love	Free Indirect Discourse	Emma	Q223880
209	5	2025-01-09	Realistic Appreciation of Love	Generous Love	Free Indirect Discourse	Sense and Sensibility	Q274744
208	5	2025-01-09	Realistic Appreciation of Love	Generous Love	Free Indirect Discourse	The Canterbury Tales	Q191663
207	5	2025-01-09	Empowerment	Existential Nausea	Narrative without Core Values	The Blacks: A Clown Show	Q3234313
206	5	2025-01-09	Detached Self-Awareness	Eustress	Meta-Horror	Frankenstein	Q51613242
205	5	2025-01-09	Gratitude without Inferiority	Empowerment	Logic	The Life of Jesus	Q42192109
204	5	2025-01-09	Gratitude without Inferiority	Empowerment	Logic	The Essence of Christianity	Q1170769
203	5	2025-01-09	Forgiveness	Empathy	Hamartia	Jude the Obscure	Q1249773
202	5	2025-01-09	Forgiveness	Empathy	Hamartia	Anne of Green Gables	Q523076
201	5	2025-01-09	Forgiveness	Empathy	Hamartia	Little Women	Q523076
200	5	2025-01-09	Forgiveness	Empathy	Hamartia	Sister Carrie	Q1286961
199	5	2025-01-09	Forgiveness	Empathy	Empathy Generator	Go Tell it on the Mountain	Q1444052
198	5	2025-01-09	Forgiveness	Empathy	Empathy Generator	The Age of Innocence	Q1045464
197	5	2025-01-09	Forgiveness	Empathy	Empathy Generator	David Copperfield	Q189811
196	5	2025-01-09	Connection	Double Identification	Soliloquy in a Soliloquy	To Kill a Mockingbird	Q212340
195	5	2025-01-09	Belief	Distress	Story in the Story	The Castle of Otranto	Q548576
194	5	2025-01-09	Peace of Mind	Dissociation	Opportunity to Observe	Waiting for Godot	Q19871
193	5	2025-01-09	Purpose	Curiosity	Suspense	Eminent Victorians	Q5372505
192	5	2025-01-09	Purpose	Curiosity	Suspense	The Early Diary (1768-1778)	
191	5	2025-01-09	Purpose	Curiosity	Suspense	The Right Stuff	Q1197185
190	5	2025-01-09	Purpose	Curiosity	Suspense	In Cold Blood	Q1142887
189	5	2025-01-09	Purpose	Curiosity	Suspense	Gone Girl	Q5581570
188	5	2025-01-09	Purpose	Curiosity	Suspense	And Then There Were None	Q214132
187	5	2025-01-09	Purpose	Curiosity	Suspense	On the Origin of Species	Q20124
186	5	2025-01-09	Purpose	Curiosity	Suspense	Twilight	Q44523
185	5	2025-01-09	Purpose	Curiosity	Suspense	The Thirty-Nine Steps	Q2609365
184	5	2025-01-09	Purpose	Curiosity	Suspense	King Solomon's Mines	Q1137494
183	5	2025-01-09	Purpose	Curiosity	Suspense	Sir Gawain and the Green Knight	Q756715
182	5	2025-01-09	Purpose	Curiosity	Suspense	The Epic of Sundiata	Q4026918
181	6	2025-01-09	Tend and Befriend	Courage	Human God Voice	Call the Midwife	Q172230
180	5	2025-01-09	Humility about One's Nature	Self-Irony	Conversion Narrative	Confessions	Q372941
179	5	2025-01-09	Connection	Connection	Second Method	Tristan und Isolde	Q1324254
178	5	2025-01-09	Connection	Connection	Second Method	Rigoletto	Q189234
177	5	2025-01-09	Connection	Connection	Second Method	L'Orfeo	Q724008
176	5	2025-01-09	Connection	Connection	Second Method	Varney the Vampire	Q1987925
175	5	2025-01-09	Connection	Connection	Partial Dopamine + Perspective of a Child	My Brilliant Friend	Q22263533
174	5	2025-01-09	Connection	Connection	Partial Dopamine	The Godfather	Q243556
173	5	2025-01-09	Connection	Connection	Partial Dopamine	The String of Pearls	Q7767037
172	5	2025-01-09	Connection	Connection	Partial Dopamine	Varney the Vampire	Q1987925
171	5	2025-01-09		Confusion	Stream of Consciousness	Ulysses	Q6511
170	6	2025-01-09	Resilience	Confusion	Stream of Consciousness	The Sound and the Fury	Q135515
169	5	2025-01-09	Humility about One's Ideas	Being Wrong	Red Herring	Letters on Natural Magic	Q51499090
168	5	2025-01-09	Humility about One's Ideas	Being Wrong	Red Herring	Veronica Mars	Q4529
167	5	2025-01-09	Humility about One's Ideas	Being Wrong	Red Herring	Law and Order	Q321423
166	5	2025-01-09	Humility about One's Ideas	Being Wrong	Red Herring	Dragnet	Q1247359
165	5	2025-01-09	Humility about One's Ideas	Being Wrong	Red Herring	The Murders in the Rue Morgue	Q459667
164	5	2025-01-09	Humility about One's Ideas	Being Wrong	Red Herring	House	Q23558
163	6	2025-01-09	Self-Scrutiny	Alienation	Second Look	Disclaimer	Q112241985
162	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	Disgrace	Q958560
161	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	The Redundancy of Courage	Q7759996
160	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	Our Sister Killjoy	Q16733998
159	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	Portnoy's Complaint	Q2707531
158	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	Slaughterhouse Five	Q265954
157	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	Things Fall Apart	Q622400
156	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	Mother Courage and Her Children	Q62407
155	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	Passing	Q15052495
154	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	A Portrait of the Artist as a Young Man	Q465360
153	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	Rashomon	Q135465
152	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	Rashōmon	Q1076912
151	5	2025-01-09	Self-Scrutiny	Alienation	Second Look	The Tragedy of Julius Caesar	Q215750
150	5	2025-01-08	Healthy Grief	Acceptance of Loss	Sorrow Resolver	So Long a Letter	Q7549373
149	5	2025-01-08	Healthy Grief	Acceptance of Loss	Sorrow Resolver	The Year of Magical Thinking	Q993664
148	5	2025-01-08	Healthy Grief	Acceptance of Loss	Sorrow Resolver	The Sun Also Rises	Q501351
147	5	2025-01-08	Healthy Grief	Acceptance of Loss	Sorrow Resolver	Hamlet	Q41567
146	5	2025-01-08	Healthy Grief	Acceptance of Loss	Sorrow Resolver	The Sorrows of Young Werther	Q151883
145	5	2025-01-08	Healthy Grief	Acceptance of Loss	Guilt Lifter	Hamlet	Q41567
144	5	2025-01-08	Healthy Grief	Acceptance of Loss	Grief Releaser	Hamlet	Q41567
118	5	2024-11-15	Forgiveness	Empathy	Empathy Generator	Emma	Q223880
117	5	2024-11-15	Forgiveness	Empathy	Empathy Generator	Richard III	Q652011
116	5	2024-11-15	Forgiveness	Empathy	Empathy Generator	Oedipus Tyrannus	Q148643
115	5	2024-11-15	Forgiveness	Empathy	Apology	Antigone	Q241077
114	5	2024-11-15	Forgiveness	Empathy	Apology	The Book of Job	Q4577
113	5	2024-11-15	Tend and Befriend	Courage	Human God Voice	Grey's Anatomy	Q438406
112	5	2024-11-15	Tend and Befriend	Courage	Human God Voice	A Song of Ice and Fire	Q45875
111	5	2024-11-15	Tend and Befriend	Courage	Human God Voice	Gladiator	Q128518
110	5	2024-11-15	Tend and Befriend	Courage	Human God Voice	Peyton Place	Q1247551
109	5	2024-11-15	Tend and Befriend	Courage	Human God Voice	A Tale of Two Cities	Q308918
108	5	2024-11-15	Tend and Befriend	Courage	Epic Simile	Beloved	Q971767
107	5	2024-11-15	Tend and Befriend	Courage	Epic Simile	The Iliad	Q8275
106	5	2024-11-15	Tend and Befriend	Courage	Human God Voice	The Iliad	Q8275
105	5	2024-11-15	Obedience	Awe	God Voice	Genesis	Q9184
104	5	2024-11-15	Obedience	Awe	God Voice	Sanskrit Rigveda	Q727413
103	5	2024-11-15	Obedience	Awe	God Voice	Pyramid Texts	Q645882
102	5	2024-11-15	Obedience	Awe	God Voice	Book of the Dead	Q174361
85	5	2024-10-17	Forgiveness	Empathy	Empathy Generator	The Mill on the Floss	Q1215018
58	5	2024-09-20	Obedience	Awe	God Voice	Gilgamesh	Q8272
56	6	2024-09-20	Vigilance	Paranoia	Vigilance Trigger	The Terror	Q27538067
